address,district,building,"last date",case_id,"matched address (arcGIS)",Score,X,Y,LongLabel,Addr_type
"Hospital Authority Building, 147B Argyle Street, Kowloon City","Kowloon City","Hospital Authority Building, 147B Argyle Street","2020-02-07 00:00:00",57,"Hospital Authority Building, 147-147B Argyle Street, Kowloon City",99.23,114.1832072,22.32434,"Hospital Authority Building, 147-147B Argyle Street, Kowloon City, HKG",PointAddress
"Hospital Authority Building, 147B Argyle Street, Kowloon City","Kowloon City","Hospital Authority Building, 147B Argyle Street","2020-02-07 00:00:00",59,"Hospital Authority Building, 147-147B Argyle Street, Kowloon City",99.23,114.1832072,22.32434,"Hospital Authority Building, 147-147B Argyle Street, Kowloon City, HKG",PointAddress
"Choi Fung Court, Wong Tai Sin","Wong Tai Sin","Choi Fung Court","2020-02-08 00:00:00",28,"Choi Fung Court, Choi Wan Estate, 23 Choi Fung Path, Ngau Chi Wan, Wong Tai Sin",100,114.213032,22.33492937,"Choi Fung Court, Choi Wan Estate, 23 Choi Fung Path, Ngau Chi Wan, Wong Tai Sin, HKG",PointAddress
"Hung Fook Mansion, 356-362 Lockhart Road, Wan Chai","Wan Chai","Hung Fook Mansion, 356-362 Lockhart Road","2020-02-08 00:00:00",27,"Hung Fook Mansion, 356-362 Lockhart Road, Wan Chai",100,114.1791269,22.27907014,"Hung Fook Mansion, 356-362 Lockhart Road, Wan Chai, HKG",PointAddress
"Hung Fook Mansion, 356-362 Lockhart Road, Wan Chai","Wan Chai","Hung Fook Mansion, 356-362 Lockhart Road","2020-02-08 00:00:00",29,"Hung Fook Mansion, 356-362 Lockhart Road, Wan Chai",100,114.1791269,22.27907014,"Hung Fook Mansion, 356-362 Lockhart Road, Wan Chai, HKG",PointAddress
"Hung Fook Mansion, 356-362 Lockhart Road, Wan Chai","Wan Chai","Hung Fook Mansion, 356-362 Lockhart Road","2020-02-08 00:00:00",30,"Hung Fook Mansion, 356-362 Lockhart Road, Wan Chai",100,114.1791269,22.27907014,"Hung Fook Mansion, 356-362 Lockhart Road, Wan Chai, HKG",PointAddress
"Lai Chi building, 42-56 Leighton Road, Wan Chai","Wan Chai","Lai Chi building, 42-56 Leighton Road","2020-02-08 00:00:00",32,"Lai Chi Building, 42-56 Leighton Road, Causeway Bay, Wan Chai",100,114.184107,22.27744544,"Lai Chi Building, 42-56 Leighton Road, Causeway Bay, Wan Chai, HKG",PointAddress
"Lai Chi building, 42-56 Leighton Road, Wan Chai","Wan Chai","Lai Chi building, 42-56 Leighton Road","2020-02-08 00:00:00",34,"Lai Chi Building, 42-56 Leighton Road, Causeway Bay, Wan Chai",100,114.184107,22.27744544,"Lai Chi Building, 42-56 Leighton Road, Causeway Bay, Wan Chai, HKG",PointAddress
"Lai Chi building, 42-56 Leighton Road, Wan Chai","Wan Chai","Lai Chi building, 42-56 Leighton Road","2020-02-08 00:00:00",35,"Lai Chi Building, 42-56 Leighton Road, Causeway Bay, Wan Chai",100,114.184107,22.27744544,"Lai Chi Building, 42-56 Leighton Road, Causeway Bay, Wan Chai, HKG",PointAddress
"Lai Chi building, 42-56 Leighton Road, Wan Chai","Wan Chai","Lai Chi building, 42-56 Leighton Road","2020-02-08 00:00:00",41,"Lai Chi Building, 42-56 Leighton Road, Causeway Bay, Wan Chai",100,114.184107,22.27744544,"Lai Chi Building, 42-56 Leighton Road, Causeway Bay, Wan Chai, HKG",PointAddress
"Hung Fook Mansion, 356-362 Lockhart Road, Wan Chai","Wan Chai","Hung Fook Mansion, 356-362 Lockhart Road","2020-02-08 00:00:00",31,"Hung Fook Mansion, 356-362 Lockhart Road, Wan Chai",100,114.1791269,22.27907014,"Hung Fook Mansion, 356-362 Lockhart Road, Wan Chai, HKG",PointAddress
"Maylun Apartments, 1-25 Shu Kuk Street, Eastern",Eastern,"Maylun Apartments, 1-25 Shu Kuk Street","2020-02-08 00:00:00",65,"Maylun Apartments, 1-25 Shu Kuk Street, North Point, Eastern",100,114.2001819,22.2908196,"Maylun Apartments, 1-25 Shu Kuk Street, North Point, Eastern, HKG",PointAddress
"Maylun Apartments, 1-25 Shu Kuk Street, Eastern",Eastern,"Maylun Apartments, 1-25 Shu Kuk Street","2020-02-08 00:00:00",70,"Maylun Apartments, 1-25 Shu Kuk Street, North Point, Eastern",100,114.2001819,22.2908196,"Maylun Apartments, 1-25 Shu Kuk Street, North Point, Eastern, HKG",PointAddress
"Tai Wo House, Wo Che Estate, Sha Tin","Sha Tin","Tai Wo House, Wo Che Estate","2020-02-09 00:00:00",37,"Tai Wo House, Wo Che Estate, Hip Yan Street, Sha Tin",100,114.1952498,22.38911535,"Tai Wo House, Wo Che Estate, Hip Yan Street, Sha Tin, HKG",PointAddress
"Central Tower, 89 Lockhart Road, Wan Chai","Wan Chai","Central Tower, 89 Lockhart Road","2020-02-09 00:00:00",33,"89 Lockhart Rd, Wan Chai",96.36,114.1719809,22.27820314,"89 Lockhart Rd, Wan Chai, HKG",StreetAddress
"Central Tower, 89 Lockhart Road, Wan Chai","Wan Chai","Central Tower, 89 Lockhart Road","2020-02-09 00:00:00",36,"89 Lockhart Rd, Wan Chai",96.36,114.1719809,22.27820314,"89 Lockhart Rd, Wan Chai, HKG",StreetAddress
"Hong Mei House, Cheung Hong Estate, Kwai Tsing","Kwai Tsing","Hong Mei House, Cheung Hong Estate","2020-02-09 00:00:00",12,"Hong Mei House, Cheung Hong Estate, 12 Ching Hong Road, Tsing Yi, Kwai Tsing",100,114.0992855,22.35039896,"Hong Mei House, Cheung Hong Estate, 12 Ching Hong Road, Tsing Yi, Kwai Tsing, HKG",PointAddress
"Cheung Hing Building, 110 Sai Wan Ho Street, Eastern",Eastern,"Cheung Hing Building, 110 Sai Wan Ho Street","2020-02-09 00:00:00",38,"Cheung Hing Building, 110-110C Sai Wan Ho Street, Shau Kei Wan, Eastern",99.29,114.221921,22.28145182,"Cheung Hing Building, 110-110C Sai Wan Ho Street, Shau Kei Wan, Eastern, HKG",PointAddress
"Cheung Hing Building, 110 Sai Wan Ho Street, Eastern",Eastern,"Cheung Hing Building, 110 Sai Wan Ho Street","2020-02-09 00:00:00",40,"Cheung Hing Building, 110-110C Sai Wan Ho Street, Shau Kei Wan, Eastern",99.29,114.221921,22.28145182,"Cheung Hing Building, 110-110C Sai Wan Ho Street, Shau Kei Wan, Eastern, HKG",PointAddress
"Cheung Hing Building, 110 Sai Wan Ho Street, Eastern",Eastern,"Cheung Hing Building, 110 Sai Wan Ho Street","2020-02-09 00:00:00",39,"Cheung Hing Building, 110-110C Sai Wan Ho Street, Shau Kei Wan, Eastern",99.29,114.221921,22.28145182,"Cheung Hing Building, 110-110C Sai Wan Ho Street, Shau Kei Wan, Eastern, HKG",PointAddress
"Hong Mei House, Cheung Hong Estate, Kwai Tsing","Kwai Tsing","Hong Mei House, Cheung Hong Estate","2020-02-09 00:00:00",42,"Hong Mei House, Cheung Hong Estate, 12 Ching Hong Road, Tsing Yi, Kwai Tsing",100,114.0992855,22.35039896,"Hong Mei House, Cheung Hong Estate, 12 Ching Hong Road, Tsing Yi, Kwai Tsing, HKG",PointAddress
"Chung Wui Mansion, 110 Wan Chai Road, Wan Chai","Wan Chai","Chung Wui Mansion, 110 Wan Chai Road","2020-02-09 00:00:00",33,"Chung Wui Mansion",100,114.1754501,22.27679002,"Chung Wui Mansion, 110 Wan Chai Rd, Wan Chai, HKG",POI
"Chung Wui Mansion, 110 Wan Chai Road, Wan Chai","Wan Chai","Chung Wui Mansion, 110 Wan Chai Road","2020-02-09 00:00:00",36,"Chung Wui Mansion",100,114.1754501,22.27679002,"Chung Wui Mansion, 110 Wan Chai Rd, Wan Chai, HKG",POI
"Hong Mei House, Cheung Hong Estate, Kwai Tsing","Kwai Tsing","Hong Mei House, Cheung Hong Estate","2020-02-09 00:00:00",49,"Hong Mei House, Cheung Hong Estate, 12 Ching Hong Road, Tsing Yi, Kwai Tsing",100,114.0992855,22.35039896,"Hong Mei House, Cheung Hong Estate, 12 Ching Hong Road, Tsing Yi, Kwai Tsing, HKG",PointAddress
"Hong Mei House, Cheung Hong Estate, Kwai Tsing","Kwai Tsing","Hong Mei House, Cheung Hong Estate","2020-02-09 00:00:00",48,"Hong Mei House, Cheung Hong Estate, 12 Ching Hong Road, Tsing Yi, Kwai Tsing",100,114.0992855,22.35039896,"Hong Mei House, Cheung Hong Estate, 12 Ching Hong Road, Tsing Yi, Kwai Tsing, HKG",PointAddress
"MOKO, Yau Tsim Mong","Yau Tsim Mong",MOKO,"2020-02-09 00:00:00",37,Momo,85.58,114.1736301,22.29912996,"Momo, 41 Carnarvon Rd, Tsim Sha Tsui, Yau Tsim Mong, HKG",POI
"MOKO, Yau Tsim Mong","Yau Tsim Mong",MOKO,"2020-02-09 00:00:00",50,Momo,85.58,114.1736301,22.29912996,"Momo, 41 Carnarvon Rd, Tsim Sha Tsui, Yau Tsim Mong, HKG",POI
"Cheung Hing Building, 110 Sai Wan Ho Street, Eastern District","Eastern District","Cheung Hing Building, 110 Sai Wan Ho Street","2020-02-09 00:00:00",38,"Cheung Hing Building, 110-110C Sai Wan Ho Street, Shau Kei Wan, Eastern",97.8,114.221921,22.28145182,"Cheung Hing Building, 110-110C Sai Wan Ho Street, Shau Kei Wan, Eastern, HKG",PointAddress
"Cheung Hing Building, 110 Sai Wan Ho Street, Eastern District","Eastern District","Cheung Hing Building, 110 Sai Wan Ho Street","2020-02-09 00:00:00",40,"Cheung Hing Building, 110-110C Sai Wan Ho Street, Shau Kei Wan, Eastern",97.8,114.221921,22.28145182,"Cheung Hing Building, 110-110C Sai Wan Ho Street, Shau Kei Wan, Eastern, HKG",PointAddress
"Cheung Hing Building, 110 Sai Wan Ho Street, Eastern District","Eastern District","Cheung Hing Building, 110 Sai Wan Ho Street","2020-02-09 00:00:00",39,"Cheung Hing Building, 110-110C Sai Wan Ho Street, Shau Kei Wan, Eastern",97.8,114.221921,22.28145182,"Cheung Hing Building, 110-110C Sai Wan Ho Street, Shau Kei Wan, Eastern, HKG",PointAddress
"Fu Yan Court, 23 Sai Wan Ho Street, Eastern",Eastern,"Fu Yan Court, 23 Sai Wan Ho Street","2020-02-09 00:00:00",57,"Fu Yan Court, 23 Sai Wan Ho Street, Shau Kei Wan, Eastern",100,114.2242703,22.27981642,"Fu Yan Court, 23 Sai Wan Ho Street, Shau Kei Wan, Eastern, HKG",PointAddress
"Fu Yan Court, 23 Sai Wan Ho Street, Eastern",Eastern,"Fu Yan Court, 23 Sai Wan Ho Street","2020-02-09 00:00:00",60,"Fu Yan Court, 23 Sai Wan Ho Street, Shau Kei Wan, Eastern",100,114.2242703,22.27981642,"Fu Yan Court, 23 Sai Wan Ho Street, Shau Kei Wan, Eastern, HKG",PointAddress
"Block 3, Island Resort, Eastern",Eastern,"Block 3, Island Resort","2020-02-10 00:00:00",43,"Block 3, Island Resort, 28 Siu Sai Wan Road, Siu Sai Wan, Eastern",100,114.2512416,22.2655661,"Block 3, Island Resort, 28 Siu Sai Wan Road, Siu Sai Wan, Eastern, HKG",PointAddress
"Tung Ping House, Lei Tung Estate, Southern",Southern,"Tung Ping House, Lei Tung Estate","2020-02-10 00:00:00",44,"Tung Ping House, Lei Tung Estate, 5 Lei Tung Estate Road, Ap Lei Chau, Southern",100,114.1574873,22.24176761,"Tung Ping House, Lei Tung Estate, 5 Lei Tung Estate Road, Ap Lei Chau, Southern, HKG",PointAddress
"Po Yan House, Po Lam Estate, Sai Kung","Sai Kung","Po Yan House, Po Lam Estate","2020-02-10 00:00:00",45,"Po Yan House, Po Lam Estate, 18 Po Lam Road North, Tseung Kwan O, Sai Kung",100,114.2528574,22.32593382,"Po Yan House, Po Lam Estate, 18 Po Lam Road North, Tseung Kwan O, Sai Kung, HKG",PointAddress
"Tin Chak House, Tin Wan Estate, Southern",Southern,"Tin Chak House, Tin Wan Estate","2020-02-10 00:00:00",46,"Tin Chak House, Tin Wan Estate, Tin Wan Street, Aberdeen, Southern",100,114.1509263,22.25240307,"Tin Chak House, Tin Wan Estate, Tin Wan Street, Aberdeen, Southern, HKG",PointAddress
"Leung Tin Village, Tuen Mun","Tuen Mun","Leung Tin Village","2020-02-10 00:00:00",47,"Leung Tin Village, Tuen Mun",100,113.9780474,22.39833922,"Leung Tin Village, Tuen Mun, HKG",Locality
"On Tao House, Cheung On Estate, Kwai Tsing","Kwai Tsing","On Tao House, Cheung On Estate","2020-02-10 00:00:00",50,"On Tao House, Cheung On Estate, Tsing King Road, Tsing Yi, Kwai Tsing",100,114.1021684,22.36082308,"On Tao House, Cheung On Estate, Tsing King Road, Tsing Yi, Kwai Tsing, HKG",PointAddress
"Block 3, Island Resort, Eastern District","Eastern District","Block 3, Island Resort","2020-02-10 00:00:00",43,"Block 3, Island Resort, 28 Siu Sai Wan Road, Siu Sai Wan, Eastern",90.3,114.2512416,22.2655661,"Block 3, Island Resort, 28 Siu Sai Wan Road, Siu Sai Wan, Eastern, HKG",PointAddress
"Domain, Kwun Tong","Kwun Tong",Domain,"2020-02-10 00:00:00",67,"Domain, 38 Ko Chiu Road, Yau Tong, Kwun Tong",100,114.2386028,22.29618578,"Domain, 38 Ko Chiu Road, Yau Tong, Kwun Tong, HKG",PointAddress
"Po Shan Mansion, Tai Koo Shing, Eastern",Eastern,"Po Shan Mansion, Tai Koo Shing","2020-02-10 00:00:00",60,"Po Shan Mansion, Taikoo Shing Kao Shan Terrace, 1 Taikoo Shing Road, Quarry Bay, Eastern",96.95,114.2194254,22.28528574,"Po Shan Mansion, Taikoo Shing Kao Shan Terrace, 1 Taikoo Shing Road, Quarry Bay, Eastern, HKG",PointAddress
"Kwan Chart Tower, Wan Chai","Wan Chai","Kwan Chart Tower","2020-02-10 00:00:00",30,"Kwan Chart Tower, 6 Tonnochy Road, Wan Chai",100,114.177983,22.27928287,"Kwan Chart Tower, 6 Tonnochy Road, Wan Chai, HKG",PointAddress
"Kwan Chart Tower, Wan Chai","Wan Chai","Kwan Chart Tower","2020-02-10 00:00:00",44,"Kwan Chart Tower, 6 Tonnochy Road, Wan Chai",100,114.177983,22.27928287,"Kwan Chart Tower, 6 Tonnochy Road, Wan Chai, HKG",PointAddress
"633 King's Road, North Point, Eastern",Eastern,"633 King's Road, North Point","2020-02-11 00:00:00",57,"633 King'S Road, North Point, Eastern",100,114.2069279,22.29217122,"633 King'S Road, North Point, Eastern, HKG",PointAddress
"633 King's Road, North Point, Eastern",Eastern,"633 King's Road, North Point","2020-02-11 00:00:00",59,"633 King'S Road, North Point, Eastern",100,114.2069279,22.29217122,"633 King'S Road, North Point, Eastern, HKG",PointAddress
"633 King's Road, Eastern",Eastern,"633 King's Road","2020-02-11 00:00:00",57,"633 King'S Road, North Point, Eastern",100,114.2069279,22.29217122,"633 King'S Road, North Point, Eastern, HKG",PointAddress
"633 King's Road, Eastern",Eastern,"633 King's Road","2020-02-11 00:00:00",59,"633 King'S Road, North Point, Eastern",100,114.2069279,22.29217122,"633 King'S Road, North Point, Eastern, HKG",PointAddress
"Mount Parker Lodge, 10 Hong Pak Path, Eastern",Eastern,"Mount Parker Lodge, 10 Hong Pak Path","2020-02-12 00:00:00",52,"Mount Parker Lodge, 10 Hong Pak Path, Quarry Bay, Eastern",100,114.2130648,22.28107405,"Mount Parker Lodge, 10 Hong Pak Path, Quarry Bay, Eastern, HKG",PointAddress
"Block D, Mount Parker Lodge, 10 Hong Pak Path, Eastern District","Eastern District","Block D, Mount Parker Lodge, 10 Hong Pak Path","2020-02-12 00:00:00",52,"Block D, Mount Parker Lodge, 10 Hong Pak Path, Quarry Bay, Eastern",98.4,114.2127431,22.28171534,"Block D, Mount Parker Lodge, 10 Hong Pak Path, Quarry Bay, Eastern, HKG",PointAddress
"Shek Yi House, Shek Lei II Estate, Kwai Tsing","Kwai Tsing","Shek Yi House, Shek Lei II Estate","2020-02-12 00:00:00",55,"Shek Yi House, Shek Lei Estate, Shek Pai Street, Kwai Chung, Kwai Tsing",84.07,114.1399348,22.36523741,"Shek Yi House, Shek Lei Estate, Shek Pai Street, Kwai Chung, Kwai Tsing, HKG",PointAddress
"Tze Tin Tsuen, Tuen Mun","Tuen Mun","Tze Tin Tsuen","2020-02-12 00:00:00",51,"Ho Tin Tsuen, Tuen Mun",79.23,113.9647474,22.3994372,"Ho Tin Tsuen, Tuen Mun, HKG",Locality
"Block D, Mount Parker Lodge, 10 Hong Pak Path, Eastern",Eastern,"Block D, Mount Parker Lodge, 10 Hong Pak Path","2020-02-12 00:00:00",52,"Block D, Mount Parker Lodge, 10 Hong Pak Path, Quarry Bay, Eastern",100,114.2127431,22.28171534,"Block D, Mount Parker Lodge, 10 Hong Pak Path, Quarry Bay, Eastern, HKG",PointAddress
"Heung Hoi Mansion, 28-32 O'Brien Road, Wan Chai","Wan Chai","Heung Hoi Mansion, 28-32 O'Brien Road","2020-02-12 00:00:00",52,"Heung Hoi Mansion, 28-32 O'Brien Road, Wan Chai",100,114.172933,22.27877849,"Heung Hoi Mansion, 28-32 O'Brien Road, Wan Chai, HKG",PointAddress
